session_id,"question_key","answer_value",answer_order
1396102,"location","f17387c0dc617dcd8b14b0bc3daf3caf",21
1396103,"currentSavings","3",25
1396103,"location","26c79831bb09706f44a4e975518b1997",22
1396104,"currentSavings","1",24
1396104,"location","fa6f278a192469e3da1a8d72f1e5af23",21
1396105,"currentSavings","1",23
1396105,"location","40629049710e515a0cdb06ffd65dbf23",20
1396106,"currentSavings","3",22
1396106,"location","66d45c358a3576dd30bd5e8b30b40315",19
1396107,"currentSavings","3",23
1396107,"location","63119c1ef1769be3367f0fb6c39b2573",20
1396108,"currentSavings","1",24
1396108,"location","2ca1ce4a65bf5b60c60bd7c4a89a33f9",21
1396109,"currentSavings","0",24
1396109,"location","a38e77213c6ac717528dbd5ab1df581f",21
1396110,"currentSavings","2",24
1396110,"location","04aa7af3658b266ad0f838e0d9945396",21
1396111,"currentSavings","0",24
1396111,"location","009bd2262ae5a8afab700b5bc96b157a",21
1396112,"currentSavings","0",25
1396112,"location","9e1a4ad1551fcb87bfeb7061da4e11a2",22
1396113,"currentSavings","4",24
1396113,"location","c1637fa7ae42971a243bce01dfa2a8c9",21
1396114,"currentSavings","3",24
1396114,"location","6a28eabcad1eff991e894e5f577e53e6",21
1396115,"currentSavings","0",24
1396115,"location","0e64614222628536fee1d0b1c78fab92",21
1396116,"currentSavings","0",23
1396116,"location","bad7a8a923b9899c5b5b3ce15b359fa8",20
1396117,"currentSavings","1",23
1396117,"location","f74e95cf0ef6ccd85c791b5d351aa327",20
1396118,"currentSavings","0",22
1396118,"location","b844b947d3f4f2829acc21c79ee6ef5e",19
1396119,"currentSavings","1",25
1396119,"location","bf56d3ff4ea20391eeb73af2dc7e0d07",22
1396120,"currentSavings","3",25
1396120,"location","dd5fe2c6fef2fe64d0e401e2cf6dbdf0",22
1396121,"currentSavings","1",23
1396121,"location","6398796f364ce2e7005f31bbd08ba210",20
1396122,"currentSavings","4",23
1396122,"location","1a4006a93b50abce284841937782b2cf",20
1396123,"currentSavings","3",25
1396123,"location","1e994cc16054b6fb597dd3a3aa566534",22
1396124,"currentSavings","0",22
1396124,"location","ecc19ff8dfa0fba0aac51c409d06e653",19
1396125,"currentSavings","4",25
1396125,"location","bfb19e4ff777faf703be10e2221177bc",22
1396126,"currentSavings","5",25
1396126,"location","2cedf2fcda27c6c4953d358c5fa06815",22
1396127,"currentSavings","2",22
1396127,"location","e369075ffcdb43b54cb19b7f7a09f567",19
1396128,"currentSavings","3",26
1396128,"location","b2bda5107e30f358ff7e47bd0fe6c828",23
1396129,"currentSavings","0",23
1396129,"location","4d83be7a390565bb712b26f787096fb3",20
1396130,"currentSavings","3",24
1396130,"location","eebaf35cd01e754f8148941800d63ffe",21
1396131,"currentSavings","1",24
1396131,"location","f2a4d34f5e4caeab38d3d6b5720e7e48",21
1396132,"currentSavings","2",25
1396132,"location","124940affdbff6411003ea580a9f6ea6",22
1396133,"currentSavings","1",22
1396133,"location","c74956ffb38ba48ed6ce977af6727275",19
1396134,"currentSavings","0",23
1396134,"location","05c5212f517870bc85cd63e4d8f1fcc1",20
1396135,"currentSavings","2",23
1396135,"location","7f2fbdd88b1ffd706c9a8c816f3cda3e",20
1396136,"currentSavings","0",23
1396136,"location","a96affe8fcc94101e10bb7761267cac3",20
1396137,"currentSavings","3",22
1396137,"location","8c97612c3a3f6f599b47dce13298f48a",19
1396138,"currentSavings","3",23
1396138,"location","d72ed463540d810c634272bb19e3de1a",20
1396139,"currentSavings","0",24
1396139,"location","4c44e91d56c3d5d780dc803c9209f8dd",21
1396140,"currentSavings","1",24
1396140,"location","6fb46146d54b9533b525dedc9308db3f",21
1396141,"currentSavings","1",26
1396141,"location","1d2414490aae3f7842bb8274d9dab01e",23
1396142,"currentSavings","3",24
1396142,"location","e4161440b97ffb6c598204e0b9893843",21
1396143,"currentSavings","0",22
1396143,"location","14a5d165450ba0624886b13edd184540",19
1396144,"currentSavings","3",24
1396144,"location","39ef949b99a581b47aaeaaa1ebd3120b",21
1396145,"currentSavings","0",22
1396145,"location","6a4a00c51ce4fa5fd6cb53eea94ca7af",19
1396146,"currentSavings","2",23
1396146,"location","c3671e164e65eb26a22db5421e92c405",20
